base structure 1, no replacement, CC(C1=[N+]2C(C([P+](C3=CC=CC=C3)([Fe-3]24)C5=CC=CC=C5)=CC=C6)=C6C=C1)=[N+]4C7=CC=CC=C7
base structure 52, sub group 64, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c(C(C(C(C(C)C(C)C)C(C)C)C)C(CC)C(C)C(C)C):c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c(C(C(C(C(C)C(C)C)C(C)C)C)C(CC)C(C)C(C)C):c1
base structure 53, sub group 1, [F]c:1:c(:c:c:c:c1)[P+]1(c:2:c:c:c:c:c2[F])CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 53, sub group 2, [Cl]c:1:c(:c:c:c:c1)[P+]1(c:2:c:c:c:c:c2[Cl])CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 53, sub group 3, [Br]c:1:c(:c:c:c:c1)[P+]1(c:2:c:c:c:c:c2[Br])CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 53, sub group 4, [I]c:1:c(:c:c:c:c1)[P+]1(c:2:c:c:c:c:c2[I])CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 53, sub group 5, Nc:1:c(:c:c:c:c1)[P+]1(c:2:c:c:c:c:c2N)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 53, sub group 6, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2SC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1SC
base structure 53, sub group 7, Sc:1:c(:c:c:c:c1)[P+]1(c:2:c:c:c:c:c2S)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 53, sub group 8, [PH3]c:1:c(:c:c:c:c1)[P+]1(c:2:c:c:c:c:c2[PH3])CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 53, sub group 9, [O][N](=O)c:1:c(:c:c:c:c1)[P+]1(c:2:c:c:c:c:c2[N](=O)[O])CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 53, sub group 10, [O][S](=O)([O])c:1:c(:c:c:c:c1)[P+]1(c:2:c:c:c:c:c2[S](=O)([O])[O])CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 53, sub group 11, [F]C([F])([F])c:1:c(:c:c:c:c1)[P+]1(c:2:c:c:c:c:c2C([F])([F])[F])CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 53, sub group 12, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2c:2:c:c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1c:1:c:c:c:c:c1
base structure 53, sub group 13, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2Cc:2:c:c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1Cc:1:c:c:c:c:c1
base structure 53, sub group 14, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(c:2:c:c:c:c:c2)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(c:1:c:c:c:c:c1)C
base structure 53, sub group 15, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCc:2:c:c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCc:1:c:c:c:c:c1
base structure 53, sub group 16, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(c:1:c:c:c:c:c1)c:1:c:c:c:c:c1
base structure 53, sub group 17, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CC(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CC(c:1:c:c:c:c:c1)c:1:c:c:c:c:c1
base structure 53, sub group 18, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2)c:2:c:c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(c:1:c:c:c:c:c1)c:1:c:c:c:c:c1)c:1:c:c:c:c:c1
base structure 53, sub group 19, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C2CCCCC2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C1CCCCC1
base structure 53, sub group 20, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CC2CCCCC2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CC1CCCCC1
base structure 53, sub group 21, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C2CCCCC2)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C1CCCCC1)C
base structure 53, sub group 22, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCC2CCCCC2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCC1CCCCC1
base structure 53, sub group 23, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C2CCCCC2)C2CCCCC2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C1CCCCC1)C1CCCCC1
base structure 53, sub group 24, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CC(C2CCCCC2)C2CCCCC2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CC(C1CCCCC1)C1CCCCC1
base structure 53, sub group 25, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C2CCCCC2)C2CCCCC2)C2CCCCC2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C1CCCCC1)C1CCCCC1)C1CCCCC1
base structure 53, sub group 26, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C
base structure 53, sub group 27, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CC
base structure 53, sub group 28, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C)C
base structure 53, sub group 29, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCC
base structure 53, sub group 30, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCC
base structure 53, sub group 31, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CC(C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CC(C)C
base structure 53, sub group 32, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C)(C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C)(C)C
base structure 53, sub group 33, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCC
base structure 53, sub group 34, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C)C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C)C)C
base structure 53, sub group 35, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCC
base structure 53, sub group 36, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(CC)C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(CC)C)C
base structure 53, sub group 37, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCC
base structure 53, sub group 38, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(CC)C)CC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(CC)C)CC
base structure 53, sub group 39, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCC
base structure 53, sub group 40, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(C)C)C)CC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(C)C)C)CC
base structure 53, sub group 41, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCCC
base structure 53, sub group 42, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(C)C)C)C(C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(C)C)C)C(C)C
base structure 53, sub group 43, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCCCC
base structure 53, sub group 44, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(CC)C)C)C(C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(CC)C)C)C(C)C
base structure 53, sub group 45, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCCCCC
base structure 53, sub group 46, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(CC)C)C)C(C)CC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(CC)C)C)C(C)CC
base structure 53, sub group 47, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCCCCCC
base structure 53, sub group 48, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(C(C)C)C)C)C(C)CC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(C(C)C)C)C)C(C)CC
base structure 53, sub group 49, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCCCCCCC
base structure 53, sub group 50, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(C(C)C)C)C)C(C)C(C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(C(C)C)C)C)C(C)C(C)C
base structure 53, sub group 51, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCCCCCCCC
base structure 53, sub group 52, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(C(C)CC)C)C)C(C)C(C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(C(C)CC)C)C)C(C)C(C)C
base structure 53, sub group 53, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCCCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCCCCCCCCC
base structure 53, sub group 54, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(C(C)CC)C)C)C(C)C(C)CC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(C(C)CC)C)C)C(C)C(C)CC
base structure 53, sub group 55, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCCCCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCCCCCCCCCC
base structure 53, sub group 56, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(C(C)C(C)C)C)C)C(C)C(C)CC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(C(C)C(C)C)C)C)C(C)C(C)CC
base structure 53, sub group 57, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCCCCCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCCCCCCCCCCC
base structure 53, sub group 58, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(C(C)C(C)C)C)C)C(C)C(C)C(C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(C(C)C(C)C)C)C)C(C)C(C)C(C)C
base structure 53, sub group 59, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCCCCCCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCCCCCCCCCCCC
base structure 53, sub group 60, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(C(C)C(C)C)CC)C)C(C)C(C)C(C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(C(C)C(C)C)CC)C)C(C)C(C)C(C)C
base structure 53, sub group 61, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCCCCCCCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCCCCCCCCCCCCC
base structure 53, sub group 62, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(C(C)C(C)C)CC)C)C(CC)C(C)C(C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(C(C)C(C)C)CC)C)C(CC)C(C)C(C)C
base structure 53, sub group 63, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2CCCCCCCCCCCCCCCCCCCC)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1CCCCCCCCCCCCCCCCCCCC
base structure 53, sub group 64, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c:c:c:c:c2C(C(C(C(C)C(C)C)C(C)C)C)C(CC)C(C)C(C)C)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c:c:c:c:c1C(C(C(C(C)C(C)C)C(C)C)C)C(CC)C(C)C(C)C
base structure 54, sub group 1, [F]c:1:c(:c:c:c:c1[F])[P+]1(c:2:c([F]):c([F]):c:c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 54, sub group 2, [Cl]c:1:c(:c:c:c:c1[Cl])[P+]1(c:2:c([Cl]):c([Cl]):c:c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 54, sub group 3, [Br]c:1:c(:c:c:c:c1[Br])[P+]1(c:2:c([Br]):c([Br]):c:c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 54, sub group 4, [I]c:1:c(:c:c:c:c1[I])[P+]1(c:2:c([I]):c([I]):c:c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 54, sub group 5, Nc:1:c(:c:c:c:c1N)[P+]1(c:2:c(N):c(N):c:c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 54, sub group 6, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(SC):c(SC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(SC):c(SC):c:c:c1
base structure 54, sub group 7, Sc:1:c(:c:c:c:c1S)[P+]1(c:2:c(S):c(S):c:c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 54, sub group 8, [PH3]c:1:c(:c:c:c:c1[PH3])[P+]1(c:2:c([PH3]):c([PH3]):c:c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 54, sub group 9, [O][N](=O)c:1:c(:c:c:c:c1[N](=O)[O])[P+]1(c:2:c([N](=O)[O]):c([N](=O)[O]):c:c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 54, sub group 10, [O][S](=O)([O])c:1:c(:c:c:c:c1[S](=O)([O])[O])[P+]1(c:2:c([S](=O)([O])[O]):c([S](=O)([O])[O]):c:c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 54, sub group 11, [F]C([F])([F])c:1:c(:c:c:c:c1C([F])([F])[F])[P+]1(c:2:c(C([F])([F])[F]):c(C([F])([F])[F]):c:c:c2)CC=2[N+]3=C(C=CC2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]13)C
base structure 54, sub group 12, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(c:4:c:c:c:c:c4):c(c:4:c:c:c:c:c4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(c:2:c:c:c:c:c2):c(c:2:c:c:c:c:c2):c:c:c1
base structure 54, sub group 13, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(Cc:4:c:c:c:c:c4):c(Cc:4:c:c:c:c:c4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(Cc:2:c:c:c:c:c2):c(Cc:2:c:c:c:c:c2):c:c:c1
base structure 54, sub group 14, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(c:4:c:c:c:c:c4)C):c(C(c:4:c:c:c:c:c4)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(c:2:c:c:c:c:c2)C):c(C(c:2:c:c:c:c:c2)C):c:c:c1
base structure 54, sub group 15, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCc:4:c:c:c:c:c4):c(CCc:4:c:c:c:c:c4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCc:2:c:c:c:c:c2):c(CCc:2:c:c:c:c:c2):c:c:c1
base structure 54, sub group 16, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c(C(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c(C(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c:c:c1
base structure 54, sub group 17, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CC(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c(CC(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c(CC(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c:c:c1
base structure 54, sub group 18, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c(C(C(c:4:c:c:c:c:c4)c:4:c:c:c:c:c4)c:4:c:c:c:c:c4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c(C(C(c:2:c:c:c:c:c2)c:2:c:c:c:c:c2)c:2:c:c:c:c:c2):c:c:c1
base structure 54, sub group 19, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C4CCCCC4):c(C4CCCCC4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C2CCCCC2):c(C2CCCCC2):c:c:c1
base structure 54, sub group 20, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CC4CCCCC4):c(CC4CCCCC4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC2CCCCC2):c(CC2CCCCC2):c:c:c1
base structure 54, sub group 21, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C4CCCCC4)C):c(C(C4CCCCC4)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C2CCCCC2)C):c(C(C2CCCCC2)C):c:c:c1
base structure 54, sub group 22, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCC4CCCCC4):c(CCC4CCCCC4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCC2CCCCC2):c(CCC2CCCCC2):c:c:c1
base structure 54, sub group 23, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C4CCCCC4)C4CCCCC4):c(C(C4CCCCC4)C4CCCCC4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C2CCCCC2)C2CCCCC2):c(C(C2CCCCC2)C2CCCCC2):c:c:c1
base structure 54, sub group 24, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CC(C4CCCCC4)C4CCCCC4):c(CC(C4CCCCC4)C4CCCCC4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC(C2CCCCC2)C2CCCCC2):c(CC(C2CCCCC2)C2CCCCC2):c:c:c1
base structure 54, sub group 25, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C4CCCCC4)C4CCCCC4)C4CCCCC4):c(C(C(C4CCCCC4)C4CCCCC4)C4CCCCC4):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C2CCCCC2)C2CCCCC2)C2CCCCC2):c(C(C(C2CCCCC2)C2CCCCC2)C2CCCCC2):c:c:c1
base structure 54, sub group 26, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C):c(C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C):c(C):c:c:c1
base structure 54, sub group 27, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CC):c(CC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC):c(CC):c:c:c1
base structure 54, sub group 28, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C)C):c(C(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C)C):c(C(C)C):c:c:c1
base structure 54, sub group 29, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCC):c(CCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCC):c(CCC):c:c:c1
base structure 54, sub group 30, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCC):c(CCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCC):c(CCCC):c:c:c1
base structure 54, sub group 31, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CC(C)C):c(CC(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CC(C)C):c(CC(C)C):c:c:c1
base structure 54, sub group 32, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C)(C)C):c(C(C)(C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C)(C)C):c(C(C)(C)C):c:c:c1
base structure 54, sub group 33, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCC):c(CCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCC):c(CCCCC):c:c:c1
base structure 54, sub group 34, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(C)C)C):c(C(C(C)C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C)C)C):c(C(C(C)C)C):c:c:c1
base structure 54, sub group 35, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCC):c(CCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCC):c(CCCCCC):c:c:c1
base structure 54, sub group 36, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(CC)C)C):c(C(C(CC)C)C):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(CC)C)C):c(C(C(CC)C)C):c:c:c1
base structure 54, sub group 37, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCC):c(CCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCC):c(CCCCCCC):c:c:c1
base structure 54, sub group 38, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(C(C(CC)C)CC):c(C(C(CC)C)CC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(CC)C)CC):c(C(C(CC)C)CC):c:c:c1
base structure 54, sub group 39, CC=1C2=[N+]3C(=CC=C2)C[P+](c:2:c(CCCCCCCC):c(CCCCCCCC):c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCC):c(CCCCCCCC):c:c:c1
