base structure 1, no replacement, CC(C1=[N+]2C(C([P+](C3=CC=CC=C3)([Fe-3]24)C5=CC=CC=C5)=CC=C6)=C6C=C1)=[N+]4C7=CC=CC=C7
base structure 2, sub group 55, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCCCCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCC):c:c:c:c1
base structure 2, sub group 56, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)CC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)CC):c:c:c:c1
base structure 2, sub group 57, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCCCCCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCCC):c:c:c:c1
base structure 2, sub group 58, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)C(C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)C)C)C(C)C(C)C(C)C):c:c:c:c1
base structure 2, sub group 59, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCCCCCCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCCCC):c:c:c:c1
base structure 2, sub group 60, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(C(C)C(C)C)CC)C)C(C)C(C)C(C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)CC)C)C(C)C(C)C(C)C):c:c:c:c1
base structure 2, sub group 61, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCCCCCCCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCCCCC):c:c:c:c1
base structure 2, sub group 62, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(C(C)C(C)C)CC)C)C(CC)C(C)C(C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)CC)C)C(CC)C(C)C(C)C):c:c:c:c1
base structure 2, sub group 63, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(CCCCCCCCCCCCCCCCCCCC):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(CCCCCCCCCCCCCCCCCCCC):c:c:c:c1
base structure 2, sub group 64, CC=1C2=[N+]3c:4:c(:c:c:c:c4C=C2)[P+](c:2:c(C(C(C(C(C)C(C)C)C(C)C)C)C(CC)C(C)C(C)C):c:c:c:c2)([Fe-3]3[N+]1c:1:c:c:c:c:c1)c:1:c(C(C(C(C(C)C(C)C)C(C)C)C)C(CC)C(C)C(C)C):c:c:c:c1
base structure 3, sub group 1, [F]c:1:c:c(:c:c:c1)[P+]1(c:2:c:c([F]):c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 3, sub group 2, [Cl]c:1:c:c(:c:c:c1)[P+]1(c:2:c:c([Cl]):c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 3, sub group 3, [Br]c:1:c:c(:c:c:c1)[P+]1(c:2:c:c([Br]):c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
base structure 3, sub group 4, [I]c:1:c:c(:c:c:c1)[P+]1(c:2:c:c([I]):c:c:c2)c:2:c:3[N+]4=C(C=Cc3:c:c:c2)C(=[N+](c:2:c:c:c:c:c2)[Fe-3]14)C
